LAST SEEN   TYPE      REASON                    OBJECT                                           MESSAGE
20m         Normal    Started                   pod/tcc-api-canary-86c5dc54d7-bpr5p              Started container tcc-api
20m         Normal    Created                   pod/tcc-api-canary-86c5dc54d7-bpr5p              Created container: tcc-api
20m         Normal    Pulled                    pod/tcc-api-canary-86c5dc54d7-bpr5p              Container image "gabrieldores/tcc-api:v1" already present on machine
19m         Normal    RolloutStepCompleted      rollout/tcc-api-canary                           Rollout step 2/6 completed (pause: 30s)
18m         Warning   AnalysisRunFailed         analysisrun/tcc-api-bluegreen-787bdcb856-6-pre   Analysis Completed. Result: Failed
18m         Warning   MetricFailed              analysisrun/tcc-api-bluegreen-787bdcb856-6-pre   Metric 'error-rate' Completed. Result: Failed
18m         Normal    MetricSuccessful          analysisrun/tcc-api-bluegreen-787bdcb856-6-pre   Metric 'latency-p95' Completed. Result: Successful
18m         Warning   AnalysisRunFailed         rollout/tcc-api-bluegreen                        PrePromotion Analysis Run 'tcc-api-bluegreen-787bdcb856-6-pre' Status New: 'Failed' Previous: 'Running'
18m         Normal    MetricSuccessful          analysisrun/tcc-api-bluegreen-787bdcb856-6-pre   Metric 'success-rate' Completed. Result: Successful
18m         Warning   RolloutAborted            rollout/tcc-api-bluegreen                        Rollout aborted update to revision 6: Blue/green pre-promotion analysis phase error/failed: Metric "error-rate" assessed Failed due to failed (3) > failureLimit (2)
18m         Warning   AnalysisRunFailed         analysisrun/tcc-api-canary-b669fbb57-11-2        Analysis Completed. Result: Failed
18m         Warning   MetricFailed              analysisrun/tcc-api-canary-b669fbb57-11-2        Metric 'error-rate' Completed. Result: Failed
18m         Normal    MetricSuccessful          analysisrun/tcc-api-canary-b669fbb57-11-2        Metric 'success-rate' Completed. Result: Successful
18m         Normal    MetricSuccessful          analysisrun/tcc-api-canary-b669fbb57-11-2        Metric 'latency-p95' Completed. Result: Successful
18m         Warning   AnalysisRunFailed         rollout/tcc-api-canary                           Step Analysis Run 'tcc-api-canary-b669fbb57-11-2' Status New: 'Failed' Previous: 'Running'
18m         Warning   RolloutAborted            rollout/tcc-api-canary                           Rollout aborted update to revision 11: Step-based analysis phase error/failed: Metric "error-rate" assessed Failed due to failed (3) > failureLimit (2)
18m         Normal    SuccessfulDelete          replicaset/tcc-api-canary-b669fbb57              Deleted pod: tcc-api-canary-b669fbb57-gw924
18m         Normal    Killing                   pod/tcc-api-canary-b669fbb57-gw924               Stopping container tcc-api
