LAST SEEN   TYPE      REASON                    OBJECT                                            MESSAGE
32s         Normal    SuccessfulCreate          replicaset/tcc-api-bluegreen-86c5dc54d7           Created pod: tcc-api-bluegreen-86c5dc54d7-59dp9
31s         Normal    Started                   pod/tcc-api-bluegreen-86c5dc54d7-59dp9            Started container tcc-api
31s         Normal    Created                   pod/tcc-api-bluegreen-86c5dc54d7-59dp9            Created container: tcc-api
31s         Normal    Pulled                    pod/tcc-api-bluegreen-86c5dc54d7-59dp9            Container image "gabrieldores/tcc-api:v1" already present on machine
5s          Normal    MetricSuccessful          analysisrun/tcc-api-bluegreen-787bdcb856-14-pre   Metric 'latency-p95' Completed. Result: Successful
5s          Warning   MetricError               analysisrun/tcc-api-bluegreen-787bdcb856-14-pre   Metric 'error-rate' Completed. Result: Error
5s          Normal    MetricSuccessful          analysisrun/tcc-api-bluegreen-787bdcb856-14-pre   Metric 'success-rate' Completed. Result: Successful
5s          Warning   AnalysisRunError          rollout/tcc-api-bluegreen                         PrePromotion Analysis Run 'tcc-api-bluegreen-787bdcb856-14-pre' Status New: 'Error' Previous: 'Running'
5s          Warning   AnalysisRunError          analysisrun/tcc-api-bluegreen-787bdcb856-14-pre   Analysis Completed. Result: Error
4s          Warning   RolloutAborted            rollout/tcc-api-bluegreen                         Rollout aborted update to revision 14: Blue/green pre-promotion analysis phase error/failed: Metric "error-rate" assessed Error due to consecutiveErrors (5) > consecutiveErrorLimit (4): "Error Message: reflect: slice index out of range"
