LAST SEEN   TYPE      REASON                    OBJECT                                           MESSAGE
15m         Normal    Pulled                    pod/tcc-api-canary-b669fbb57-gw924               Container image "gabrieldores/tcc-api:v1" already present on machine
15m         Normal    Started                   pod/tcc-api-canary-b669fbb57-gw924               Started container tcc-api
14m         Normal    AnalysisRunRunning        rollout/tcc-api-bluegreen                        PrePromotion Analysis Run 'tcc-api-bluegreen-787bdcb856-6-pre' Status New: 'Running' Previous: ''
14m         Normal    RolloutStepCompleted      rollout/tcc-api-canary                           Rollout step 1/6 completed (setWeight: 20)
14m         Normal    RolloutPaused             rollout/tcc-api-canary                           Rollout is paused (CanaryPauseStep)
14m         Normal    Killing                   pod/tcc-api-canary-86c5dc54d7-xs5fn              Stopping container tcc-api
14m         Normal    SuccessfulCreate          replicaset/tcc-api-canary-86c5dc54d7             Created pod: tcc-api-canary-86c5dc54d7-bpr5p
14m         Normal    Pulled                    pod/tcc-api-canary-86c5dc54d7-bpr5p              Container image "gabrieldores/tcc-api:v1" already present on machine
14m         Normal    Started                   pod/tcc-api-canary-86c5dc54d7-bpr5p              Started container tcc-api
14m         Normal    Created                   pod/tcc-api-canary-86c5dc54d7-bpr5p              Created container: tcc-api
14m         Normal    RolloutStepCompleted      rollout/tcc-api-canary                           Rollout step 2/6 completed (pause: 30s)
12m         Normal    MetricSuccessful          analysisrun/tcc-api-bluegreen-787bdcb856-6-pre   Metric 'success-rate' Completed. Result: Successful
12m         Normal    MetricSuccessful          analysisrun/tcc-api-bluegreen-787bdcb856-6-pre   Metric 'latency-p95' Completed. Result: Successful
12m         Warning   MetricFailed              analysisrun/tcc-api-bluegreen-787bdcb856-6-pre   Metric 'error-rate' Completed. Result: Failed
12m         Warning   AnalysisRunFailed         analysisrun/tcc-api-bluegreen-787bdcb856-6-pre   Analysis Completed. Result: Failed
12m         Warning   AnalysisRunFailed         rollout/tcc-api-bluegreen                        PrePromotion Analysis Run 'tcc-api-bluegreen-787bdcb856-6-pre' Status New: 'Failed' Previous: 'Running'
